Sample,Cache (cycles),DRAM (cycles)
1,61,408
2,59,364
3,55,366
4,55,372
5,55,372
6,57,374
7,55,368
8,55,370
9,57,989
10,57,370
11,57,370
12,55,369
13,57,368
14,55,368
15,55,368
16,58,366
17,55,368
18,51,374
19,57,844
20,57,369
21,55,368
22,59,368
23,57,366
24,57,366
25,57,364
26,55,369
27,57,362
28,57,366
29,53,1045
30,59,364
31,57,366
32,55,369
33,59,368
34,59,366
35,57,364
36,55,368
37,57,370
38,57,362
39,57,783
40,57,371
41,55,366
42,51,370
43,57,366
44,55,365
45,51,366
46,53,374
47,55,364
48,55,366
49,55,1069
50,57,364
51,55,368
52,53,368
53,53,372
54,55,366
55,53,369
56,51,368
57,55,370
58,57,368
59,55,1046
60,53,370
61,53,370
62,53,368
63,55,369
64,55,372
65,59,364
66,55,366
67,57,366
68,55,369
69,53,941
70,58,371
71,57,368
72,53,366
73,55,370
74,57,372
75,56,374
76,57,366
77,55,368
78,53,370
79,57,1059
80,54,368
81,59,366
82,55,368
83,57,366
84,55,376
85,56,376
86,55,370
87,58,365
88,51,370
89,57,1071
90,57,366
91,55,368
92,56,369
93,57,368
94,55,366
95,55,368
96,55,368
97,55,372
98,57,370
99,55,1020
100,53,370
101,57,368
102,57,362
103,55,370
104,55,370
105,55,366
106,57,367
107,56,366
108,57,364
109,53,911
110,55,369
111,58,364
112,57,368
113,57,368
114,57,368
115,57,368
116,55,368
117,57,369
118,59,366
119,59,1085
120,55,362
121,57,368
122,55,372
123,55,369
124,57,366
125,53,368
126,53,368
127,55,370
128,53,368
129,57,786
130,59,366
131,55,366
132,55,368
133,57,368
134,55,368
135,55,370
136,56,369
137,56,364
138,57,362
139,55,1016
140,55,372
141,53,368
142,57,370
143,55,373
144,56,367
145,51,366
146,55,370
147,53,372
148,55,368
149,57,1046
150,57,370
151,55,366
152,53,366
153,55,368
154,57,366
155,55,368
156,57,368
157,57,369
158,58,366
159,55,1071
160,55,366
161,53,368
162,57,364
163,57,368
164,55,371
165,56,368
166,53,372
167,55,370
168,55,368
169,53,949
170,53,372
171,55,370
172,20398,398
173,55,368
174,55,372
175,53,1191
176,55,372
177,53,382
178,56,371
179,53,372
180,55,364
181,55,372
182,57,364
183,57,376
184,51,364
185,57,673
186,55,370
187,57,366
188,53,368
189,59,366
190,55,366
191,57,368
192,51,372
193,57,370
194,56,376
195,56,854
196,51,368
197,55,364
198,59,401
199,55,368
200,55,370
201,53,368
202,57,370
203,53,366
